pkg,title,topics
mahjonggame,Drawing Mahjong tiles and complete Mahjong game layouts with LaTeX3 and TikZ,"PGF TikZ, Games"
multicoltab,Free flow table for multicols layouts,"Table long, Table"
abraces,Asymmetric over-/underbraces in maths,"Maths, Tagged PDF – incompatible, Maths symbol"
abspos,Absolute placement with coffins,Layout
academicons,Font containing high quality icons of online academic profiles,"Font TTF, Font supp symbol, Font symbol, Font, Tagged PDF – partially compatible"
acmart,Class for typesetting publications of ACM,"Class, Computer theory, Engineering, Tagged PDF – partially compatible, Computer science, Journal"
addfont,Easier use of fonts without LaTeX support,"Font management, Font use"
adigraph,Augmenting directed graphs,"Diagrams, PGF TikZ"
adjmulticol,Adjusting margins for multicolumn and single column output,"Tagged PDF – fully compatible, Multi-column, Layout"
aiplans,A TikZ-based library for drawing POCL plans,"PGF TikZ, Automata, Graphics"
alchemist,Typeset alchemist and astrological symbols,"Astrology, Unicode, Font supp symbol"
algorithm2e,Floating algorithm environment with algorithmic keywords,"Pseudo-code, Tagged PDF – incompatible"
algpseudocodex,Package for typesetting pseudocode,Pseudo-code
algxpar,Support multiple lines of pseudocode,Pseudo-code
altsubsup,Subscripts and superscripts with square brackets,"Maths, Subsup position"
animate,Create PDF and SVG animations from graphics files and inline graphics,Graphics motion
annot-pro,"Create text, stamp and file attachment annotations","PDF features, Adobe Distiller"
annotate-equations,Easily annotate math equations using TikZ,"Decoration, PGF TikZ, Maths"
archaeologie,A citation-style which covers rules of the German Archaeological Institute,"BibLaTeX, Humanities, Std conform"
argumentation,Create abstract argumentation frameworks via TikZ,"PGF TikZ, Graphics, Diagrams"
arsclassica,A different view of the ClassicThesis package,Dissertation
association-matrix,LaTeX support for creating association matrices,"Matrix, Table"
asternote,Annotation symbols enclosed in square brackets and marked with an asterisk,"Footnote, Japanese"
asymptote-by-example-zh-cn,Asymptote by example,Chinese documentation
asymptote-manual-zh-cn,A Chinese translation of the asymptote manual,Chinese documentation
attachfile,Attach arbitrary files to a PDF document,"PDF features, Tagged PDF – incompatible"
automata,"Finite state machines, graphs and trees in MetaPost",Automata
awesomebox,"Draw admonition blocks in your documents, illustrated with FontAwesome icons","Boxing, Tagged PDF – partially compatible"
bagpipe,Support for typesetting bagpipe music,Music
bardiag,LaTeX package for drawing bar diagrams,"Charts, Tagged PDF – incompatible"
barracuda,Draw barcodes with Lua,Barcode
battleship,A LaTeX style file for typesetting Battleship logic puzzles,"Games, PGF TikZ"
bboldx,Extension of the bbold package with a Blackboard Bold alphabet,"Maths Font, Font Type1, Font, BBD Font, Tagged PDF – partially compatible, Font support"
bchart,Draw simple bar charts in LaTeX,"PGF TikZ, Tagged PDF – incompatible, Charts"
bclogo,Creating colourful boxes with logos,"Tagged PDF – unsupported, Logo, Boxing"
beamertheme-arguelles,"Simple, typographic beamer theme",Presentation
beamerthemecelestia,A modern and elegant Beamer theme,Presentation
bearwear,Shirts to dress TikZbears,"PGF TikZ, Amusements, Graphics, Tagged PDF – fully compatible"
bg,Annotate backgammon matches and positions,Games
bib2qr,Cite BibTeX entries with QR codes,"QR Code, BibLaTeX"
biber,A BibTeX replacement for users of BibLaTeX,Bibliography
biblatex,Sophisticated Bibliographies in LaTeX,"BibLaTeX, Bibliography, Tagged PDF – partially compatible"
biblatex-license,Add license data to the bibliography,"BibLaTeX, Licence management"
biblatex-manuscripts-philology,Manage classical manuscripts with BibLaTeX,"Humanities, BibLaTeX"
biblatex-philosophy,Styles for using BibLaTeX for work in philosophy,"Humanities, Philosophy, BibLaTeX"
biblatex-publist,BibLaTeX bibliography support for publication lists,BibLaTeX
biblatex-realauthor,Indicate the real author of a work,BibLaTeX
biblatex-source-division,References by <q>division</q> in classical sources,BibLaTeX
bibleref,Format bible citations,"Theology, Label and References"
bibletext,Insert Bible passages by their reference,Theology
bibtex,Process bibliographies (bib files) for LaTeX or other formats,"BibTeX documentation, Tagged PDF – fully compatible, BibTeX Support, Bibliography"
bicaption,Support for bilingual captions,"Tagged PDF – incompatible, Caption"
binarytree,Drawing binary trees using TikZ,"PGF TikZ, Graphics in TeX, Tree"
biochemistry-colors,"Colors used to display amino acids, nucleotides, sugars or atoms in biochemistry",Colour
bitpattern,Typeset bit pattern diagrams,"Comp net, Engineering, Computer science"
bizcard,Typeset business cards,File card
blochsphere,Draw pseudo-3D diagrams of Bloch spheres,"Physics, PGF TikZ"
blockdraw_mp,"Block diagrams and bond graphs, with MetaPost",Block Diagrams
bloques,Generate control diagrams,Control Diagrams
blowup,Upscale or downscale all pages of a document,"Typesetting, Tagged PDF – fully compatible"
blox,"Draw block diagrams, using TikZ","PGF TikZ, Graphics, Block Diagrams"
bodegraph,"Draw Bode, Nyquist and Black plots with gnuplot and TikZ","PGF TikZ, Graphics plot, Engineering"
bodeplot,"Draw Bode, Nyquist and Nichols plots with gnuplot or pgfplots","Graphics plot, PGF TikZ, Engineering"
boites,Boxes that may break across pages,"Decoration, Box breaking, Tagged PDF – incompatible, Boxing"
bondgraphs,"Draws bond graphs in LaTeX, using PGF/TikZ","PGF TikZ, Diagrams"
bootstrapicons,Icons from the framework Bootstrap,"Graphics symbols, Logo"
bracealign,Align braces under and over math expressions,"Parentheses management, Tagged PDF – fully compatible, Maths"
